Time_Series_ID,Time_Step,Channel_0,Channel_1,Channel_2
0,0,0.30287513,0.44309264,0.34260422
0,1,0.68804747,0.5587048,0.6589216
0,2,0.33379033,0.43454838,0.35072693
0,3,0.64078605,0.5422319,0.6383022
0,4,0.39167768,0.46133158,0.3778599
0,5,0.58397025,0.5311867,0.60848236
0,6,0.45524487,0.46812442,0.41258228
0,7,0.50833553,0.5120448,0.5739301
0,8,0.5458334,0.49783942,0.45606035
0,9,0.43253374,0.48564464,0.5321854
0,10,0.6105883,0.52025664,0.49888888
0,11,0.3612041,0.46471852,0.48623037
0,12,0.67303354,0.5467374,0.540846
0,13,0.31043524,0.43876126,0.4546676
0,14,0.7136118,0.56509644,0.57427907
0,15,0.27520573,0.42898786,0.42173663
0,16,0.7413987,0.57845104,0.6045299
0,17,0.24711807,0.41361976,0.38796827
0,18,0.75802606,0.5891706,0.62734663
0,19,0.23531403,0.40633374,0.36569524
0,20,0.75609887,0.58865523,0.6479754
0,21,0.24429004,0.40979385,0.34377173
0,22,0.7461053,0.5846187,0.6593525
0,23,0.2578026,0.41697168,0.3376354
0,24,0.7201949,0.572038,0.6577988
0,25,0.29869968,0.43412295,0.3433177
0,26,0.6765722,0.55838555,0.6485085
0,27,0.35444468,0.44993877,0.35889414
0,28,0.61901677,0.5383402,0.628858
0,29,0.41880038,0.4759651,0.37798965
0,30,0.55675375,0.51782864,0.5929756
0,31,0.48681143,0.4897316,0.42210147
0,32,0.4797067,0.501474,0.5578118
0,33,0.5610455,0.51724225,0.45620355
0,34,0.41239947,0.47890854,0.5142659
0,35,0.62666184,0.53359383,0.5098785
0,36,0.34440038,0.45404595,0.46987262
0,37,0.68930984,0.55705506,0.547817
0,38,0.29116353,0.43382898,0.42840505
0,39,0.7264394,0.5648587,0.5921297
0,40,0.26403454,0.42217505,0.39870927
0,41,0.74657035,0.5763847,0.6146454
0,42,0.24961412,0.41748416,0.36770007
0,43,0.7517214,0.57869524,0.64344555
0,44,0.2447701,0.41106674,0.35375917
0,45,0.7539008,0.58589876,0.653039
0,46,0.25438073,0.41399726,0.34384778
0,47,0.7239901,0.57578456,0.6619618
1,0,0.21536928,0.43692425,0.375381
1,1,0.79860747,0.57090086,0.6278788
1,2,0.21388265,0.44652134,0.36548445
1,3,0.7740777,0.54300994,0.6503367
1,4,0.241033,0.46177596,0.34298915
1,5,0.7397471,0.5319662,0.66469353
1,6,0.27970752,0.47333685,0.34542918
1,7,0.69096684,0.51914006,0.65169555
1,8,0.34001708,0.48790175,0.34774107
1,9,0.6262959,0.5023566,0.6536968
1,10,0.40319285,0.50028867,0.37134627
1,11,0.5621811,0.4857517,0.6316448
1,12,0.4875423,0.51839304,0.39482906
1,13,0.4635882,0.45300436,0.5991135
1,14,0.580804,0.55268824,0.4319758
1,15,0.37900114,0.44061846,0.5619132
1,16,0.6496466,0.5575952,0.46550626
1,17,0.31737795,0.43863696,0.51214343
1,18,0.71108717,0.55624473,0.51540375
1,19,0.2664227,0.43593708,0.47860038
1,20,0.75850123,0.5777745,0.54125166
1,21,0.22453928,0.43074688,0.44197455
1,22,0.79180056,0.5642427,0.5890841
1,23,0.2040594,0.4376036,0.40190986
1,24,0.79783136,0.57643646,0.60544777
1,25,0.19911751,0.4280115,0.38390654
1,26,0.79063654,0.56470543,0.62851506
1,27,0.21578757,0.44478765,0.36231625
1,28,0.7736275,0.556716,0.6400465
1,29,0.24627508,0.4538536,0.35575852
1,30,0.7323137,0.5369645,0.6429858
1,31,0.2920849,0.47384042,0.3521997
1,32,0.6830736,0.523133,0.651263
1,33,0.35650215,0.48528594,0.35139766
1,34,0.6135071,0.51071906,0.6312119
1,35,0.42708132,0.5099184,0.3716105
1,36,0.53942174,0.49112654,0.60640633
1,37,0.5176217,0.52513885,0.4090505
1,38,0.446387,0.4662974,0.57848656
1,39,0.5915447,0.54914445,0.43561476
1,40,0.37141383,0.44984853,0.54373395
1,41,0.68034613,0.56510353,0.47120023
1,42,0.28980306,0.4346386,0.49850613
1,43,0.7323663,0.58020234,0.5177157
1,44,0.25491282,0.42394876,0.46779507
1,45,0.7696617,0.5776115,0.55178523
1,46,0.2257457,0.42890894,0.42212108
1,47,0.7865111,0.576341,0.5903861
2,0,0.56401336,0.52399254,0.42145133
2,1,0.40394717,0.45623755,0.5773474
2,2,0.6438395,0.546433,0.45910054
2,3,0.32065067,0.4246859,0.5299973
2,4,0.7174992,0.5834649,0.5060109
2,5,0.2591411,0.41765088,0.4730672
2,6,0.75969464,0.57828504,0.55416405
2,7,0.2238423,0.41292754,0.44094312
2,8,0.78822094,0.59797686,0.574212
2,9,0.20336524,0.40898517,0.41107103
2,10,0.79173756,0.5868857,0.6045948
2,11,0.20391129,0.41426322,0.391486
2,12,0.7917899,0.58905554,0.6163983
2,13,0.20974456,0.41553178,0.36877456
2,14,0.77516365,0.57276785,0.6410508
2,15,0.23558989,0.43037888,0.35686582
2,16,0.74637187,0.5659166,0.6533924
2,17,0.28074595,0.44038442,0.3495984
2,18,0.68963736,0.5477701,0.6443792
2,19,0.34666947,0.4710423,0.35258588
2,20,0.62221843,0.5243717,0.63685966
2,21,0.42383167,0.4871491,0.3702357
2,22,0.5452664,0.49896616,0.61304694
2,23,0.50176746,0.52186686,0.40034917
2,24,0.456325,0.47532457,0.5733996
2,25,0.59925574,0.5457465,0.4334423
2,26,0.3666646,0.4471418,0.5441245
2,27,0.66603994,0.5743701,0.4725595
2,28,0.31263942,0.4293929,0.5038194
2,29,0.7254893,0.5788855,0.51095545
2,30,0.254109,0.41983372,0.4640529
2,31,0.7702081,0.58947754,0.55362684
2,32,0.21908791,0.40409717,0.42690292
2,33,0.79158443,0.5926053,0.588521
2,34,0.20873086,0.3991559,0.40019113
2,35,0.79248655,0.596131,0.61052364
2,36,0.20935707,0.40518048,0.37874687
2,37,0.78293425,0.5880514,0.6314278
2,38,0.22722404,0.41221613,0.36198792
2,39,0.7588322,0.57388943,0.6481404
2,40,0.25671577,0.42622957,0.35437784
2,41,0.71450853,0.5600949,0.64748234
2,42,0.31062484,0.44667393,0.3582805
2,43,0.6522976,0.53913987,0.6480543
2,44,0.38377264,0.4703484,0.36342892
2,45,0.58085996,0.5087617,0.6379383
2,46,0.45773244,0.4983647,0.37859625
2,47,0.50478244,0.4858377,0.6162106
3,0,0.26281804,0.6394361,0.26709044
3,1,0.7109079,0.3439776,0.71263206
3,2,0.29845935,0.65645975,0.28151277
3,3,0.66529155,0.34772903,0.709258
3,4,0.35637915,0.6393519,0.3129583
3,5,0.61833864,0.36579823,0.67493653
3,6,0.40804625,0.62939775,0.33370999
3,7,0.5678867,0.38142258,0.64117527
3,8,0.46628597,0.6073778,0.37240133
3,9,0.5084361,0.40723643,0.6039167
3,10,0.53779846,0.5693381,0.43498603
3,11,0.42661554,0.4474522,0.5316231
3,12,0.61829376,0.5329277,0.5030891
3,13,0.35206857,0.49245456,0.45802835
3,14,0.68861055,0.4848644,0.5686074
3,15,0.2941339,0.53306377,0.38347417
3,16,0.7290397,0.43549097,0.6448298
3,17,0.25976285,0.59710586,0.32415763
3,18,0.75307506,0.38731357,0.6902344
3,19,0.24666746,0.6190372,0.29725605
3,20,0.75819945,0.37220168,0.70878065
3,21,0.24706489,0.6328179,0.2817989
3,22,0.7456023,0.35626367,0.71970725
3,23,0.2577125,0.64515543,0.2755772
3,24,0.72886693,0.34320503,0.7238586
3,25,0.28850603,0.6506168,0.27572125
3,26,0.6891798,0.344907,0.72003704
3,27,0.33325282,0.6489821,0.2866895
3,28,0.6487329,0.35426554,0.7019771
3,29,0.37972486,0.64051616,0.31527832
3,30,0.6012849,0.37128624,0.66837686
3,31,0.4255523,0.621678,0.34127054
3,32,0.5507475,0.39755696,0.64030945
3,33,0.48925558,0.5921392,0.39111543
3,34,0.48002094,0.42740205,0.57537204
3,35,0.5626991,0.5554743,0.45949447
3,36,0.4007317,0.47298667,0.49864233
3,37,0.6416642,0.50794786,0.5347255
3,38,0.3339647,0.5229824,0.4280117
3,39,0.6957456,0.45712832,0.60160303
3,40,0.27839908,0.5719446,0.3620957
3,41,0.7420309,0.41605595,0.66555285
3,42,0.25017968,0.6097309,0.31668133
3,43,0.74888,0.3763624,0.70241773
3,44,0.24986918,0.63915277,0.2866206
3,45,0.75325036,0.3616111,0.7201108
3,46,0.25693804,0.6417181,0.27543572
3,47,0.73319095,0.3529636,0.7217358
4,0,0.6358848,0.50027025,0.6480391
4,1,0.36748332,0.49968603,0.34412384
4,2,0.64017105,0.50132126,0.65221816
4,3,0.37633136,0.4983072,0.3476263
4,4,0.6322046,0.5024823,0.6531732
4,5,0.37749556,0.48851502,0.35534343
4,6,0.6264825,0.5171389,0.6339724
4,7,0.38732764,0.47562793,0.37254912
4,8,0.6067382,0.5272653,0.61045897
4,9,0.41166848,0.46452367,0.40451583
4,10,0.57977194,0.5369078,0.57428706
4,11,0.45018053,0.45639893,0.44269556
4,12,0.5393684,0.5412049,0.53808326
4,13,0.48319414,0.45667383,0.4786909
4,14,0.506699,0.5409251,0.49627432
4,15,0.5240526,0.46000773,0.5205447
4,16,0.4645494,0.5364603,0.4491004
4,17,0.5616131,0.46015066,0.5704824
4,18,0.42829525,0.53591055,0.4020337
4,19,0.5981454,0.46458128,0.6127759
4,20,0.39939943,0.52922356,0.36849076
4,21,0.6186073,0.4706585,0.63802814
4,22,0.3864933,0.51942563,0.35052168
4,23,0.62958175,0.48481485,0.6532384
4,24,0.37425432,0.511374,0.3411654
